id,baseline_condition,sunk_cost_condition,scenario_topic
210,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being personalized fitness instructor.  However, after 2 weeks, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being personalized fitness instructor. However, after 2 weeks,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
211,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being personalized fitness instructor.  However, after 2 weeks, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being personalized fitness instructor. However, after 2 weeks,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
212,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being personalized fitness instructor.  However, after 2 weeks, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being personalized fitness instructor. However, after 2 weeks,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
213,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being personalized fitness instructor.  However, after 2 weeks, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being personalized fitness instructor. However, after 2 weeks,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
214,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being personalized fitness instructor.  However, after 2 weeks, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being personalized fitness instructor. However, after 2 weeks,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
215,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being personalized fitness instructor.  However, after 2 weeks, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being personalized fitness instructor. However, after 2 weeks,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
216,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
217,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
218,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
219,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
220,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
221,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
222,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
223,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
224,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
225,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
226,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
227,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
228,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
229,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
230,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
231,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
232,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
233,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
234,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
235,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
236,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
237,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
238,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
239,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
240,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
241,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
242,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
243,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
244,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
245,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
246,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
247,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
248,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
249,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
250,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
251,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after one month, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after one month,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
252,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
253,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
254,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
255,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
256,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
257,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
258,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
259,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
260,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
261,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
262,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
263,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
264,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
265,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
